"id","name","city_id","coordinates","address","description","category","tags","images","rating","created_at","updated_at"
"place-angkor-wat-fixed","Ангкор-Ват",,"{""lat"":13.4125,""lng"":103.867}","Siem Reap, Cambodia","Храмовый комплекс в Камбодже, крупнейший религиозный памятник в мире","attraction","[""temple"",""unesco"",""history"",""cambodia""]","[]","5","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-bali-spa","Традиционный спа-центр","city-bali","{""lat"":-8.4095,""lng"":115.1889}","Ubud, Bali","Традиционные спа-процедуры с использованием местных ингредиентов","spa","[""wellness"",""spa"",""relaxation""]","[]","4","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-batu-caves","Пещеры Бату","city-kuala-lumpur","{""lat"":3.2373,""lng"":101.6839}","Batu Caves, Selangor","Индуистский храм в известняковых пещерах","attraction","[""temple"",""cave"",""hindu"",""nature""]","[]","4","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-borobudur","Боробудур","city-yogyakarta","{""lat"":-7.6079,""lng"":110.2038}","Borobudur, Magelang, Central Java","Крупнейший буддийский храм в мире","attraction","[""temple"",""unesco"",""buddhist"",""history""]","[]","5","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-cau-rong-bridge","Мост Дракона","city-da-nang","{""lat"":16.0583,""lng"":108.2278}","Da Nang, Vietnam","Знаменитый мост в форме дракона, который извергает огонь по выходным","attraction","[""bridge"",""modern"",""architecture""]","[]","4","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-chatuchak","Рынок Чатучак","city-bangkok","{""lat"":13.798,""lng"":100.5531}","Kamphaeng Phet 2 Rd, Chatuchak, Bangkok","Крупнейший рынок выходного дня в Бангкоке","market","[""shopping"",""food"",""souvenirs""]","[]","4","2025-11-04 23:20:34.062393","2025-11-04 23:20:34.062393"
"place-gardens-by-bay","Сады у залива","city-singapore","{""lat"":1.2816,""lng"":103.8636}","18 Marina Gardens Dr, Singapore","Футуристические сады с гигантскими деревьями","attraction","[""garden"",""modern"",""nature"",""futuristic""]","[]","5","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-grand-palace","Большой дворец","city-bangkok","{""lat"":13.75,""lng"":100.4925}","Na Phra Lan Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok","Королевский дворец в Бангкоке, одна из главных достопримечательностей Таиланда","attraction","[""temple"",""palace"",""history""]","[]","5","2025-11-04 23:20:34.062393","2025-11-04 23:20:34.062393"
"place-ha-long-bay","Залив Халонг","city-hanoi","{""lat"":20.9101,""lng"":107.1839}","Ha Long Bay, Vietnam","Всемирное наследие ЮНЕСКО, известное своими известняковыми скалами","attraction","[""unesco"",""nature"",""water"",""scenic""]","[]","5","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-hoan-kiem","Озеро Возвращенного меча","city-hanoi","{""lat"":21.0285,""lng"":105.8542}","Hoan Kiem District, Hanoi","Историческое озеро в центре Ханоя","attraction","[""lake"",""history"",""nature""]","[]","4","2025-11-04 23:20:34.062393","2025-11-04 23:20:34.062393"
"place-hoi-an-old-town","Старый город Хойан","city-hoi-an","{""lat"":15.8801,""lng"":108.338}","Hoi An Old Town, Vietnam","Сохраненный древний торговый порт, объект Всемирного наследия","attraction","[""unesco"",""history"",""architecture"",""old-town""]","[]","5","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-hue-citadel","Императорский город Хюэ","city-hue","{""lat"":16.4684,""lng"":107.5763}","Hue, Vietnam","Бывшая резиденция императоров Вьетнама, объект Всемирного наследия","attraction","[""unesco"",""history"",""palace"",""imperial""]","[]","5","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-marina-bay","Марина Бэй","city-singapore","{""lat"":1.2817,""lng"":103.8604}","Marina Bay, Singapore","Набережная с видом на знаменитые небоскребы Сингапура","attraction","[""skyline"",""waterfront"",""modern""]","[]","5","2025-11-04 23:20:34.062393","2025-11-04 23:20:34.062393"
"place-night-market-chiang-mai","Ночной рынок Чиангмай","city-chiang-mai","{""lat"":18.7883,""lng"":98.9853}","Chang Khlan Rd, Chiang Mai","Один из самых известных ночных рынков Таиланда","market","[""shopping"",""food"",""night-market""]","[]","4","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-nusa-penida","Нуса Пенида","city-bali","{""lat"":-8.7278,""lng"":115.5444}","Nusa Penida, Bali","Остров с потрясающими пляжами и скалами","beach","[""beach"",""nature"",""scenic"",""island""]","[]","5","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
"place-petronas","Петронас Тауэрс","city-kuala-lumpur","{""lat"":3.1579,""lng"":101.7117}","Kuala Lumpur City Centre, Kuala Lumpur","Знаменитые башни-близнецы в Куала-Лумпуре","attraction","[""skyscraper"",""modern"",""architecture""]","[]","5","2025-11-04 23:20:34.062393","2025-11-04 23:20:34.062393"
"place-sentosa","Сентоза","city-singapore","{""lat"":1.2494,""lng"":103.8303}","Sentosa Island, Singapore","Остров развлечений с пляжами, парками и аттракционами","attraction","[""island"",""entertainment"",""beach"",""theme-park""]","[]","4","2025-11-05 10:38:08.41337","2025-11-05 10:38:08.41337"
